date,event_count,severity,sentiment_score,impact_score,event_weight,event_type,affected_product,direction,title
3/31/2021,50,8,0.0805,0.465001047,0.0523,supply_chain,General,HIGH,Foxconn’s Profit Misses Estimates as Pivot to Cars Accelerates
4/1/2021,28,8,-0.028017902,0.301482171,0.0465,supply_chain,General,HIGH,Huawei Warns of Supply Chain Disruption After Growth Evaporates
4/2/2021,0,0,0,0,0,0,0,0,0
4/3/2021,0,0,0,0,0,0,0,0,0
4/4/2021,0,0,0,0,0,0,0,0,0
4/5/2021,27,8,-0.25,0.367848039,0.0477,general,General,NEUTRAL,LG Electronics Opts to Kill Off Its Smartphone Business
4/6/2021,21,2,0,0.330846816,0.0466,general,General,HIGH,Innoviz is ‘ahead of the pack’ in the lidar space: CEO
4/7/2021,24,8,-0.18125,0.300282419,0.0461,legal,General,HIGH,Max Schrems accuses Google of illegally tracking Android users
4/8/2021,42,6,0.126136364,0.380966008,0.0485,general,General,HIGH,The Chip Industry Has a Problem With Its Giant Carbon Footprint
4/9/2021,29,8,0.218153409,0.376984686,0.0469,general,General,LOW,Dow Jones Rises To New High As Apple Extends Win Streak; Growth Stocks Break Out
4/10/2021,0,0,0,0,0,0,0,0,0
4/11/2021,0,0,0,0,0,0,0,0,0
4/12/2021,29,8,0,0.264441431,0.0455,analyst_downgrade,General,HIGH,Qualcomm Stock Dips After Downgrade
4/13/2021,25,8,0.208861727,0.267239213,0.0456,analyst_upgrade,General,LOW,Amazon stock may be 70% undervalued and the company worth $3 trillion: analyst
4/14/2021,24,8,-0.2,0.239777312,0.0447,analyst_upgrade,General,HIGH,"Apple Should Crush Street Estimates for the March Quarter, Analyst Says"
4/15/2021,20,8,0.154765657,0.229609638,0.0445,analyst_upgrade,General,NEUTRAL,"Netflix, Inc. -- Moody's upgrades Netflix's CFR to Ba1 from Ba3; the outlook is positive"
4/16/2021,21,8,0.228787879,0.243511334,0.0451,analyst_downgrade,General,HIGH,Here’s Why Stewart Asset Managment Sold its Apple (AAPL) Shares
4/17/2021,0,0,0,0,0,0,0,0,0
4/18/2021,0,0,0,0,0,0,0,0,0
4/19/2021,27,2,0.037407407,0.333364248,0.0463,general,General,LOW,A Bullish Technical Take On Apple Stock
4/20/2021,61,8,0.131588613,0.340482652,0.0467,product_launch,General,NEUTRAL,An Apple Event for These Pandemic Times
4/21/2021,56,6,0.05,0.47398746,0.052,regulatory,General,LOW,No cameras allowed during Epic Games antitrust trial against Apple
4/22/2021,30,7,-0.3,0.38095662,0.0482,general,General,HIGH,"Dow Jones Futures: Biden Capital Gains Tax Hike Plan Hits Market Rally; Bitcoin, Intel, Snap, Apple Supplier Move Late"
4/23/2021,44,0,0.136363636,0.424977958,0.0498,general,General,NEUTRAL,Tech Support: iOS 14.5 updates explained
4/24/2021,0,0,0,0,0,0,0,0,0
4/25/2021,0,0,0,0,0,0,0,0,0
4/26/2021,51,6,0.048881674,0.360716969,0.0484,regulatory,General,NEUTRAL,German business groups file complaint over Apple privacy settings
4/27/2021,50,2,0.5,0.424308658,0.0502,general,General,LOW,Preview of 2021 Berkshire Hathaway Annual Shareholders Meeting
4/28/2021,85,6,0,0.264070213,0.047,regulatory,General,NEUTRAL,Antitrust Regulators Are Hounding Apple and Google: 2 Stocks That Could Benefit
4/29/2021,100,8,-0.05,0.36864239,0.0509,regulatory,App_Store,LOW,How ‘Fortnite’ maker Epic Games will try to prove Apple is operating App Store as an illegal monopoly
4/30/2021,61,8,0.06,0.463496447,0.0584,legal,App_Store,HIGH,Apple Trial Threatens to Reveal App Store's Commission Bounty
5/1/2021,0,0,0,0,0,0,0,0,0
5/2/2021,0,0,0,0,0,0,0,0,0
5/3/2021,50,6,-0.006481481,0.261546433,0.0549,ceo_statement,App_Store,LOW,Apple’s Schiller Floated Cutting App Store Fees a Decade Ago
5/4/2021,33,8,0.007804233,0.24802509,0.0502,legal,App_Store,NEUTRAL,Judge presses Epic CEO during second day of Apple antitrust trial
5/5/2021,28,8,0.082213262,0.404366851,0.0517,general,General,HIGH,5 Technology Giants to Buy on the Dip After Earnings Beat
5/6/2021,28,6,0.1875,0.3498649,0.0509,regulatory,App_Store,HIGH,Apple-Epic trial: Epic’s claim of stifled competition on cloud gaming offers compelling bookend to price-gouging charges
5/7/2021,27,6,0.18218254,0.421345443,0.0525,general,General,LOW,10 Best Tech Stocks to Buy Right Now Under $10
5/8/2021,0,0,0,0,0,0,0,0,0
5/9/2021,0,0,0,0,0,0,0,0,0
5/10/2021,18,8,-0.155555556,0.323794097,0.0491,supply_chain,General,LOW,"Why Qualcomm, Micron Technology, and Skyworks Solutions Fell Today"
5/11/2021,31,6,0.049138709,0.364644855,0.0505,regulatory,General,LOW,Tech giants join call for funding U.S. chip production
5/12/2021,29,8,-0.047619048,0.284905136,0.0476,regulatory,App_Store,HIGH,Apple Claims Its App Store Blocked Over $1.5 Billion in Fraudulent Transactions in 2020
5/13/2021,15,6,0.034833333,0.252202541,0.0467,supply_chain,General,HIGH,Parts of Taiwan Go Dark After Plant Failure Triggers Outage
5/14/2021,28,8,0.113375464,0.241961524,0.0464,supply_chain,General,LOW,IBM boss: Global computer chip shortage could last two years
5/15/2021,0,0,0,0,0,0,0,0,0
5/16/2021,0,0,0,0,0,0,0,0,0
5/17/2021,44,3,-0.002886003,0.279479265,0.048,regulatory,App_Store,LOW,"UPDATE 1-Parler returns to Apple's App Store, names new CEO"
5/18/2021,33,0,0.454019608,0.321219385,0.0493,general,General,NEUTRAL,10 Best Dividend Stocks to Buy According to Billionaire Kerr Neilson
5/19/2021,32,4,0.149305556,0.265777797,0.0492,ceo_statement,App_Store,HIGH,Apple v. Epic: Top Apple engineer makes case for App Store security
5/20/2021,27,5,0.368181818,0.329916298,0.0498,general,General,LOW,Dow Jones Rallies On Jobs Data; Bitcoin Falls As Biden Targets Crypto; Apple Stock Pops
5/21/2021,43,8,0.067028986,0.450036049,0.0566,ceo_statement,App_Store,HIGH,Apple CEO Tim Cook expected to testify today in closely watched Epic trial
5/22/2021,0,0,0,0,0,0,0,0,0
5/23/2021,0,0,0,0,0,0,0,0,0
5/24/2021,31,3,0.148888889,0.358184218,0.0515,legal,General,NEUTRAL,Apple and Epic Games' legal battle winds down
5/25/2021,27,6,0.085972222,0.392346412,0.0526,general,General,NEUTRAL,Why Amazon-MGM deal is a sign of streaming competition: 'Some will go out of business'
5/26/2021,27,8,0.221103896,0.279863179,0.0504,ceo_statement,General,LOW,Bezos Says Retail Is Much More Competitive Than Phone Market
5/27/2021,17,8,0.331111111,0.369654924,0.0519,general,General,LOW,10 Best Small-Cap Stocks to Buy According to Billionaire Mario Gabelli
5/28/2021,36,0,0.3,0.329916298,0.0505,general,General,NEUTRAL,Tech Stocks Roundup: Amazon is Slowly Taking Over the World
5/29/2021,0,0,0,0,0,0,0,0,0
5/30/2021,0,0,0,0,0,0,0,0,0
5/31/2021,0,0,0,0,0,0,0,0,0
6/1/2021,18,6,-0.004166667,0.32724914,0.0508,general,General,HIGH,"Coinbase to allow users to use card via Apple, Google wallets"
6/2/2021,25,6,-0.006858054,0.362749547,0.0526,regulatory,General,LOW,Hacking Outfit Linked to Russia Is Behind JBS Cyberattack
6/3/2021,0,0,0,0,0,0,0,0,0
6/4/2021,0,0,0,0,0,0,0,0,0
6/5/2021,0,0,0,0,0,0,0,0,0
6/6/2021,0,0,0,0,0,0,0,0,0
6/7/2021,0,0,0,0,0,0,0,0,0
6/8/2021,0,0,0,0,0,0,0,0,0
6/9/2021,0,0,0,0,0,0,0,0,0
6/10/2021,0,0,0,0,0,0,0,0,0
6/11/2021,0,0,0,0,0,0,0,0,0
6/12/2021,0,0,0,0,0,0,0,0,0
6/13/2021,0,0,0,0,0,0,0,0,0
6/14/2021,0,0,0,0,0,0,0,0,0
6/15/2021,0,0,0,0,0,0,0,0,0
6/16/2021,0,0,0,0,0,0,0,0,0
6/17/2021,0,0,0,0,0,0,0,0,0
6/18/2021,0,0,0,0,0,0,0,0,0
6/19/2021,0,0,0,0,0,0,0,0,0
6/20/2021,0,0,0,0,0,0,0,0,0
6/21/2021,0,0,0,0,0,0,0,0,0
6/22/2021,26,0,0.242420635,0.375547081,0.0543,general,General,NEUTRAL,5 great deals on Apple products — from Airpods to iPads to MacBook Pros — that you can still get right now
6/23/2021,33,8,0.068181818,0.270450056,0.0502,general,General,NEUTRAL,Microsoft Tops $2 Trillion Market Cap: Where to From Here?
6/24/2021,44,8,0.135714286,0.264270961,0.05,general,General,NEUTRAL,3 Great Robinhood Stocks to Buy This Summer
6/25/2021,17,2,0.198593655,0.250847369,0.0496,general,General,HIGH,Google takes on Apple with first retail store opening in NYC
6/26/2021,0,0,0,0,0,0,0,0,0
6/27/2021,0,0,0,0,0,0,0,0,0
6/28/2021,25,2,0.13032372,0.267996937,0.0506,general,General,HIGH,16 Best Beginner Stocks to Invest in Right Now
6/29/2021,36,8,0.080208333,0.320778906,0.0528,general,General,NEUTRAL,5 Stocks to Watch on Booming Augmented Reality Adoption
6/30/2021,35,7,0.062202381,0.323303878,0.0524,regulatory,General,NEUTRAL,Amazon Wants FTC Chair Khan Recused Over Past Criticism
7/1/2021,31,2,-0.133333333,0.329437822,0.0534,general,General,HIGH,"Dow Jones Futures Rise: Nio, Xpeng Sales Jump As Tesla Deliveries Loom; Apple Tests Buy Point In Market Rally, Micron Earnings Jump"
7/2/2021,20,6,0.055332492,0.476856411,0.0594,general,General,HIGH,Scenes From Silicon Valley’s Cautious Return to the Office
7/3/2021,0,0,0,0,0,0,0,0,0
7/4/2021,0,0,0,0,0,0,0,0,0
7/5/2021,0,0,0,0,0,0,0,0,0
7/6/2021,24,2,0.024407115,0.320753008,0.0535,general,General,HIGH,"Fake Tesla, Apple Stocks Have Started Trading on Blockchains"
7/7/2021,32,2,0.25,0.371120214,0.0557,general,General,LOW,Will Apple’s winning streak last?
7/8/2021,20,8,0.165,0.40535152,0.058,earnings_beat,General,HIGH,Is Apple Stock a Buy Ahead of Its Earnings Report?
7/9/2021,25,5,0.134145022,0.278712332,0.0521,general,General,NEUTRAL,"If You Invested $1000 in Apple 10 Years Ago, This Is How Much You'd Have Now"
7/10/2021,0,0,0,0,0,0,0,0,0
7/11/2021,0,0,0,0,0,0,0,0,0
7/12/2021,21,6,0.053074713,0.392264724,0.0571,general,General,HIGH,Has Apple stock peaked?
7/13/2021,28,5,0.04,0.286431402,0.0528,general,General,HIGH,"Apple, Microsoft and Google stocks close at record highs"
7/14/2021,58,4,0,0.387065023,0.0574,general,General,NEUTRAL,Taiwan Semiconductor Manufacturing Reports Earnings Thursday. Here’s What to Expect.
7/15/2021,30,6,0.187044206,0.302148908,0.054,general,Services,LOW,Thursday's Market Minute: The Streaming Awards
7/16/2021,29,2,0.021428571,0.274669141,0.0529,general,General,LOW,"Got $1,000? 3 5G Stocks to Look at Right Now"
7/17/2021,0,0,0,0,0,0,0,0,0
7/18/2021,0,0,0,0,0,0,0,0,0
7/19/2021,14,6,0.13,0.235324815,0.0582,legal,General,HIGH,Apple under pressure over iPhone security after NSO spyware claims
7/20/2021,35,8,0.201325758,0.247628272,0.0526,analyst_upgrade,General,LOW,Why Apple Stock Floated Higher Today
7/21/2021,22,2,0,0.287395477,0.054,general,General,HIGH,"Silicon Valley is going back to the office — some with masks on, vaccinated or not. Others are holding off a return altogether"
7/22/2021,29,8,0.005787879,0.338270545,0.0556,earnings_beat,Services,HIGH,"UPDATE 3-Twitter beats revenue targets with ad improvements, shares jump 7%"
7/23/2021,25,0,0.153571429,0.299365103,0.0547,general,General,NEUTRAL,"Got $1,000? Buy These Cheap Growth Stocks Right Away"
7/24/2021,0,0,0,0,0,0,0,0,0
7/25/2021,0,0,0,0,0,0,0,0,0
7/26/2021,38,2,0.283333333,0.327247322,0.0562,general,General,LOW,This could be the peak of the tech boom — Here’s what to look for
7/27/2021,56,8,-0.029166667,0.472981274,0.0625,general,General,LOW,"Dow Jones Drops Ahead Of Apple, Microsoft Results; Growth Stocks Move On Earnings"
7/28/2021,85,0,0.146428571,0.392760724,0.0592,general,General,NEUTRAL,How to Manage Big Tech Earnings and Dodgy Index Action
7/29/2021,30,8,0.127013889,0.375227004,0.0576,regulatory,General,NEUTRAL,Facebook Falls As It Warns Revenue Growth May Slow Significantly
7/30/2021,29,6,0,0.371306658,0.0585,general,General,NEUTRAL,"Tech Earnings Sparkled, but There’s Reason to Worry About What Comes Next"
7/31/2021,0,0,0,0,0,0,0,0,0
8/1/2021,0,0,0,0,0,0,0,0,0
8/2/2021,19,9,0.177226631,0.367197424,0.058,earnings_beat,General,HIGH,Apple's Strongest June Quarter Ever Was Overshadowed By Chip Shortage
8/3/2021,22,2,0.227910116,0.366132289,0.0581,general,General,NEUTRAL,10 Best Penny Stocks Popular on Reddit
8/4/2021,14,8,0,0.240466982,0.0543,analyst_upgrade,General,NEUTRAL,"Apple Earns IBD Relative Strength Rating Upgrade, Hitting 70+"
8/5/2021,26,0,0.311111111,0.280389696,0.0562,analyst_upgrade,General,NEUTRAL,What Is Driving AMD and Nvidia's Strong Stock Price Momentum?
8/6/2021,34,8,-0.01,0.245119423,0.0551,legal,General,NEUTRAL,Apple wins court ruling throwing out $308.5 million patent verdict
8/7/2021,0,0,0,0,0,0,0,0,0
8/8/2021,0,0,0,0,0,0,0,0,0
8/9/2021,11,6,0.161410534,0.250410497,0.0545,regulatory,General,NEUTRAL,Amazon Lures Advertisers From Facebook After Apple Privacy Shift
8/10/2021,21,6,0.039650538,0.239416301,0.0542,regulatory,General,NEUTRAL,"SoftBank’s Arm Deal Gets More Enticing, Even With Major Hurdles"
8/11/2021,22,6,0.33125,0.292245805,0.0558,general,App_Store,HIGH,Unity Software stock jumps 10% as analysts credit it with dodging Apple’s online-ad crackdown
8/12/2021,21,0,0.186161616,0.313911647,0.0569,general,General,NEUTRAL,It's going to be a 'really long time' until Disney's streaming revenue is able to get close to theme park revenue
8/13/2021,25,8,0.182557026,0.276708871,0.0562,regulatory,General,HIGH,Sonos Wins First Round in Patent Case Against Google at ITC
8/14/2021,0,0,0,0,0,0,0,0,0
8/15/2021,0,0,0,0,0,0,0,0,0
8/16/2021,20,6,0.136363636,0.268165082,0.0572,legal,General,LOW,Apple bars employees from discussing pay equity: RPT
8/17/2021,22,5,0.143421053,0.317640901,0.0584,regulatory,General,LOW,Apple to Increase Covid Testing of Staff as Delta Spreads
8/18/2021,17,2,0.262142857,0.346601874,0.0588,general,General,NEUTRAL,3 Attractive Dividend Stocks Whose Dividends Could Double
8/19/2021,26,8,0.070814732,0.462721467,0.0641,general,General,HIGH,Could This Ethical Technology Company be as Revolutionary as Tesla?
8/20/2021,26,8,0.062205387,0.321328044,0.0588,regulatory,General,HIGH,Apple Unsuccessfully Attempted To Lure Away Former Google Search Chief Ben Gomes: Report
8/21/2021,0,0,0,0,0,0,0,0,0
8/22/2021,0,0,0,0,0,0,0,0,0
8/23/2021,15,6,0.250757576,0.38428092,0.0612,general,iPhone,NEUTRAL,Apple iPhone Sales Remain Strong Despite Looming New Handset Launch
8/24/2021,20,8,0.086525974,0.316332996,0.059,regulatory,General,LOW,"UPDATE 1-S.Korea set to curb Google, Apple commission dominance"
8/25/2021,26,6,0.065340909,0.394586474,0.0626,regulatory,App_Store,LOW,"UPDATE 1-S.Korea parliament committee votes to curb Google, Apple commission dominance"
8/26/2021,13,6,0.123280423,0.283549994,0.0572,product_launch,General,HIGH,Amazon (AMZN) Ups Cybersecurity Game With Latest Initiatives
8/27/2021,31,6,0.070915679,0.377846837,0.0633,legal,App_Store,HIGH,Apple Settlement Lets App Makers Advertise Outside Payments
8/28/2021,0,0,0,0,0,0,0,0,0
8/29/2021,0,0,0,0,0,0,0,0,0
8/30/2021,35,5,0.41,0.367066741,0.0612,general,General,LOW,2 Little-Followed Stocks That Are Soaring Monday
8/31/2021,37,8.5,0.292478355,0.391977727,0.0611,earnings_beat,General,NEUTRAL,"Zoom, Robinhood Fall Premarket; Designer Brands Rises"
9/1/2021,31,0,0.25,0.368769109,0.0612,general,General,HIGH,3 Top Warren Buffett Stocks to Buy in September
9/2/2021,42,4,-0.010833333,0.269305319,0.0569,general,General,NEUTRAL,Indian Trio Reap $500 Million Each Selling Payments Startup
9/3/2021,17,6,0.179166667,0.24437587,0.056,general,General,HIGH,3 Ways You Can Beat Warren Buffett in the Stock Market
9/4/2021,0,0,0,0,0,0,0,0,0
9/5/2021,0,0,0,0,0,0,0,0,0
9/6/2021,0,0,0,0,0,0,0,0,0
9/7/2021,38,8,0.080751263,0.269339323,0.0575,general,General,LOW,Affirm (NASDAQ:AFRM) set a Low Bar for its Q4 Report. Here is What Will Actually Drive High Growth
9/8/2021,31,8,0.101273315,0.335921407,0.0603,product_launch,General,LOW,"Apple is facing a mountain of controversies, but investors don't seem to care"
9/9/2021,23,6,0.065686275,0.245033085,0.0683,ceo_statement,General,LOW,Sheryl Sandberg Says Small Businesses Online Revolution Will Continue
9/10/2021,69,8,0.044473304,0.468976736,0.0664,regulatory,General,NEUTRAL,Epic ruling invites future efforts to paint Apple as monopolist -experts
9/11/2021,0,0,0,0,0,0,0,0,0
9/12/2021,0,0,0,0,0,0,0,0,0
9/13/2021,50,3,0.089834711,0.424385428,0.0652,general,General,LOW,"GLOBAL MARKETS-Asia makes watchful start, Nikkei nears 30-year high"
9/14/2021,107,5,0.029264957,0.435839415,0.0659,general,General,HIGH,"S&amp;P, Dow Snap Five-Day Skid Ahead of CPI Report"
9/15/2021,46,8,0.144131794,0.375548035,0.0629,product_launch,General,NEUTRAL,Apple (AAPL) Launches iPad Mini &amp; Watch 7 at September Event
9/16/2021,26,8,0.042201518,0.382860452,0.0643,regulatory,General,LOW,"Russia Targets Google, Apple in Crackdown Before Elections"
9/17/2021,29,5,0.1225,0.259421736,0.0621,ceo_statement,General,LOW,UPDATE 1-Apple's Cook says he will talk with U.S. official on immigration
